property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,mapsko royale ville,sector 82,0.99,5531.0,1790.0,Super Built up area 1790(166.3 sq.m.),3,4,2,14.0,South-West,New Property,1790.0,,,0,0,0,1,0,0,95
flat,orris carnation residency,sector 85,0.9,6429.0,1400.0,Super Built up area 1485(137.96 sq.m.)Built Up area: 1402 sq.ft. (130.25 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,not available,Relatively New,1485.0,1402.0,1400.0,0,0,0,0,0,1,120
flat,ats triumph,sector 104,1.75,7642.0,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,11.0,South-East,Relatively New,2290.0,,,0,0,0,1,0,1,110
flat,dlf the grove,sector 54,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,1,46
house,independent,sector 26,19.0,42229.0,4499.3102,Plot area 500(418.06 sq.m.),6,8,3+,3.0,East,Moderately Old,,4500.0,,0,1,1,1,1,0,103
flat,kw royal court,sector 39,2.0,6250.0,3200.0,Carpet area: 3200 (297.29 sq.m.),5,4,3,9.0,East,Old Property,,,3200.0,0,0,0,1,0,2,49
flat,godrej,sector 79,2.0,8453.0,2366.0,Carpet area: 2366 (219.81 sq.m.),3,4,3+,2.0,North-East,Relatively New,,,2366.0,0,0,0,1,0,0,156
flat,emaar digihomes,sector 62,2.1,13926.0,1508.0,Super Built up area 1508(140.1 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,12.0,North-East,New Property,1508.0,1500.0,1200.0,1,0,0,0,0,0,49
flat,adani brahma samsara vilasa,sector 63,3.4,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.),3,3,3+,1.0,West,New Property,3400.0,,,0,0,0,0,0,1,99
flat,godrej icon,sector 88a,1.65,9041.0,1825.0,Super Built up area 1825(169.55 sq.m.),3,3,3,12.0,not available,New Property,1825.0,,,0,0,0,0,0,0,60
flat,mm golfestate,sector 79,1.4,10000.0,1400.0,Carpet area: 1400 (130.06 sq.m.),2,2,2,4.0,East,Undefined,,,1400.0,0,1,0,1,1,2,83
flat,eldeco accolade,sohna road,0.95,6543.0,1452.0,Super Built up area 1452(134.9 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,3+,6.0,East,New Property,1452.0,,849.0,0,0,0,0,1,0,56
flat,godrej nature plus,sector 33,1.27,9183.0,1383.0,Super Built up area 1383(128.48 sq.m.),2,2,3+,9.0,West,Undefined,1383.0,,,0,0,0,0,0,0,38
flat,mm skycity,sector 65,2.1,16031.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,43.0,not available,New Property,1310.0,,,0,0,0,0,0,0,127
flat,ats kocoon,sector 109,2.22,10597.0,2095.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,14.0,East,Relatively New,2095.0,1860.0,,0,1,1,1,1,1,45
flat,ats kocoon,sector 109,1.65,10645.0,1550.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,19.0,East,Relatively New,1745.0,1650.0,1550.0,0,1,0,0,0,0,159
house,independent,sector 7,1.0,8818.0,1134.0,Plot area 126(11.71 sq.m.),2,2,0,0.0,not available,Old Property,,1134.0,,0,0,0,0,1,1,7
house,independent,sector 38,3.9,21188.0,1840.6269,Plot area 204(170.57 sq.m.),6,6,3+,3.0,North-East,Moderately Old,,1836.0,,0,0,1,1,1,0,32
flat,dlf the skycourt,sector 86,1.5,7895.0,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,1,16.0,East,Relatively New,1900.0,,,1,0,0,0,0,0,49
house,international city by sobha phase,sector 109,7.0,11232.0,6232.2981,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South,Relatively New,,6228.0,,0,0,0,1,0,1,129
flat,apex builders,sector 37c,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North,Relatively New,,,750.0,0,0,0,0,0,0,42
flat,emaar mgf the palm drive,sector 66,3.4,15455.0,2200.0,Super Built up area 2200(204.39 sq.m.),3,4,3,9.0,East,Relatively New,2200.0,,,0,1,0,1,0,0,96
flat,tata primanti,sector 72,3.25,10545.0,3082.0,Super Built up area 3300(306.58 sq.m.),3,3,3,2.0,South,Moderately Old,3300.0,,,0,0,0,1,0,0,94
house,ansal sushant lok plots,sector 43,5.8,29935.0,1937.502,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,1,0,0,1,0,0,49
house,independent,sector 49,4.5,15599.0,2884.7252,Plot area 320(267.56 sq.m.),8,8,3,3.0,North-East,Moderately Old,,2880.0,,0,1,1,1,1,2,151
house,independent,sector 50,11.58,35741.0,3239.9339,Plot area 360(301.01 sq.m.),5,5,3,2.0,not available,Moderately Old,,3240.0,,0,0,0,1,0,0,20
house,international city by sobha phase,sector 109,6.0,24665.0,2432.6414,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,Relatively New,,2430.0,,0,0,0,1,0,0,96
flat,imperia the esfera,sector 37c,0.98,5399.0,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,South-West,Relatively New,1815.0,,1510.0,1,0,0,1,0,0,49
house,unitech espace,sector 50,7.42,23188.0,3200.0,Plot area 2160(200.67 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.),4,4,3,2.0,West,Old Property,,3200.0,,0,0,0,0,0,0,88
