property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
house,international city by sobha phase,sector 109,6.1,25103.0,2432.6414,Plot area 270(225.75 sq.m.),5,6,3+,2.0,not available,Moderately Old,,2430.0,,0,0,0,1,0,0,30
house,housing board colony,sector 28,3.5,25926.0,1345.4875,Plot area 150(125.42 sq.m.),6,6,3,3.0,not available,Relatively New,,1350.0,,0,0,0,0,0,1,0
house,independent,sector 25,4.45,32963.0,1345.4875,Plot area 150(125.42 sq.m.),4,3,3+,2.0,West,Moderately Old,,1350.0,,0,1,0,0,0,1,79
house,independent,sector 57,7.25,26852.0,2701.7389,Plot area 300(250.84 sq.m.),9,9,3+,2.0,North-East,New Property,,2700.0,,1,0,1,1,0,0,49
flat,central park resorts,sector 48,9.3,24926.0,3731.0,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),4,4,3+,10.0,North-East,Moderately Old,3931.0,3831.0,3731.0,0,1,1,1,1,0,67
house,dlf city plots,sector 26,4.0,40775.0,979.5149,Plot area 109(91.14 sq.m.),4,3,2,2.0,not available,Relatively New,,981.0,,0,0,0,0,0,0,0
house,independent,sector 12,3.5,133079.0,4800.0,Plot area 263(24.43 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 4400 sq.ft. (408.77 sq.m.),8,8,3+,3.0,South-East,Relatively New,,4800.0,4400.0,0,0,1,1,1,2,77
house,independent,sector 55,3.55,24500.0,1453.1264999999999,Plot area 161(134.62 sq.m.),4,4,3+,2.0,not available,Old Property,,1449.0,,0,0,0,0,0,0,27
house,unitech espace,sector 50,11.0,40741.0,3239.9339,Plot area 360(301.01 sq.m.)Built Up area: 361 sq.yards (301.84 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,4,3+,2.0,North,Moderately Old,,361.0,300.0,0,0,0,1,0,0,88
house,u block dlf phase road no,sector 24,1.6,29630.0,538.1949999999999,Plot area 60(50.17 sq.m.),7,5,3+,4.0,not available,Old Property,,540.0,,0,0,0,0,0,0,0
house,independent,sector 25,11.0,35530.0,3100.0032,Plot area 344(287.63 sq.m.),5,5,3+,2.0,not available,Relatively New,,3096.0,,0,1,1,1,1,1,29
house,independent,sector 56,11.5,42032.0,2734.0306,Plot area 304(254.18 sq.m.),12,13,3+,4.0,West,Relatively New,,2736.0,,0,0,1,1,1,0,49
house,independent,sector 4,0.58,86567.0,603.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately Old,,603.0,,1,0,1,0,0,1,7
house,independent,sector 25,9.0,33333.0,2701.7389,Plot area 300(250.84 sq.m.),5,5,3,3.0,North,Old Property,,2700.0,,0,1,1,1,1,0,56
house,independent,sector 11,4.5,25000.0,1797.5712999999998,Plot area 200(167.23 sq.m.),16,16,3+,4.0,South,Relatively New,,1800.0,,0,0,0,0,0,0,20
house,emaar emerald hills,sector 65,12.5,34722.0,3595.1425999999997,Plot area 400(334.45 sq.m.),4,4,3+,2.0,East,Relatively New,,3600.0,,0,0,0,1,1,1,56
house,international city by sobha phase,sector 109,5.85,26423.0,2217.3633999999997,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively New,,2214.0,,0,0,0,1,0,0,85
house,independent,sector 47,6.09,33665.0,1808.3352,Plot area 201(168.06 sq.m.)Built Up area: 180 sq.yards (150.5 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),12,11,3+,4.0,West,Moderately Old,,180.0,150.0,0,0,1,0,0,2,44
house,emaar mgf marbella,sector 66,19.0,31666.0,8998.6204,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3+,3.0,North-East,Relatively New,,,6000.0,0,1,1,1,0,0,110
house,independent,sector 50,13.2,27155.0,4865.2828,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,not available,Undefined,,4861.0,,0,0,0,0,0,0,0
house,independent,sector 25,4.31,31926.0,1345.4875,Plot area 150(125.42 sq.m.),5,4,3,3.0,North,Old Property,,1350.0,,0,0,0,0,0,1,40
house,unitech aspen greens,sector 50,12.0,37037.0,3239.9339,Plot area 360(301.01 sq.m.),3,4,2,1.0,East,Moderately Old,,3240.0,,0,0,0,1,1,0,101
house,independent,sector 48,8.4,25926.0,3239.9339,Plot area 360(301.01 sq.m.),4,4,3,2.0,not available,Old Property,,3240.0,,0,0,1,1,0,0,15
house,independent,sector 26,4.0,29630.0,1345.4875,Plot area 150(125.42 sq.m.),4,4,3,2.0,North,Old Property,,1350.0,,0,1,0,0,0,1,41
house,dlf city plots,sector 26,18.0,39841.0,4520.838,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,1,0,1,1,0,0,49
house,independent,sector 43,14.0,39886.0,3509.0314,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately Old,,3510.0,,0,0,0,1,0,0,7
house,independent,sector 45,10.0,30864.0,3239.9339,Plot area 360(301.01 sq.m.),6,6,3+,4.0,North-East,Moderately Old,,3240.0,,0,1,1,1,1,0,70
house,independent,sector 54,5.5,38194.0,1442.3626,Plot area 160(133.78 sq.m.),18,18,3+,4.0,South-West,Relatively New,,1440.0,,0,0,0,1,0,2,70
house,emaar mgf marbella,sector 66,12.0,37037.0,3239.9339,Plot area 360(301.01 sq.m.),5,5,3+,3.0,East,New Property,,3240.0,,0,1,1,1,0,0,106
house,independent,sector 24,1.45,26852.0,538.1949999999999,Plot area 60(50.17 sq.m.),3,3,1,,not available,Old Property,,540.0,,0,0,0,0,0,0,9
house,independent,sector 43,8.5,31481.0,2701.7389,Plot area 300(250.84 sq.m.),5,5,3,3.0,West,Moderately Old,,2700.0,,0,0,0,1,0,0,113
house,vipul tatvam villa,sector 48,22.0,26667.0,8998.6204,Plot area 1000(836.13 sq.m.),5,6,3,3.0,not available,Moderately Old,,9000.0,,0,0,0,1,0,1,54
house,independent,sector 25,9.9,29333.0,3379.8646,Plot area 375(313.55 sq.m.),5,5,2,2.0,South-East,Moderately Old,,3375.0,,0,0,1,0,0,0,106
house,independent,sector 56,11.95,43534.0,2744.7945,Plot area 305(255.02 sq.m.),12,12,3+,4.0,West,Relatively New,,2745.0,,0,0,0,1,0,0,21
house,independent,sector 43,2.1,38251.0,548.9589,Plot area 61(51 sq.m.),10,10,3+,5.0,West,New Property,,549.0,,0,0,0,1,0,1,20
house,international city by sobha phase,sector 109,11.3,25111.0,4499.3102,Plot area 500(418.06 sq.m.)Built Up area: 480 sq.yards (401.34 sq.m.)Carpet area: 460 sq.yards (384.62 sq.m.),7,5,3+,4.0,East,Relatively New,,480.0,460.0,1,0,1,1,1,0,49
house,sushant lok builder floors,sector 43,13.0,48148.0,2701.7389,Plot area 300(250.84 sq.m.),3,3,3+,4.0,North,New Property,,2700.0,,0,0,1,0,0,0,7
house,ardee city,sector 52,5.5,183333.0,2700.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately Old,,2700.0,,1,0,1,1,0,0,26
house,independent,sector 26,4.45,35185.0,1345.4875,Plot area 150(125.42 sq.m.),4,4,3,3.0,West,Old Property,,1350.0,,0,0,0,0,0,1,25
house,shree krishna homes,sector 104,0.48,50000.0,795.0,Plot area 80(7.43 sq.m.)Built Up area: 795 sq.ft. (73.86 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),2,2,1,1.0,North-East,New Property,,795.0,720.0,1,0,1,0,1,1,44
house,independent,sector 25,10.0,37037.0,9500.0,Plot area 2700(250.84 sq.m.)Built Up area: 9500 sq.ft. (882.58 sq.m.)Carpet area: 9000 sq.ft. (836.13 sq.m.),5,5,3+,3.0,East,Moderately Old,,9500.0,9000.0,0,0,1,1,0,2,29
house,vipul tatvam villa,sector 48,7.25,201388.0,3240.0,Plot area 360(33.45 sq.m.),4,4,3,2.0,not available,Relatively New,,3240.0,,0,1,1,1,1,0,103
house,dlf city plots phase,sector 24,1.6,29629.0,538.1949999999999,Plot area 540(50.17 sq.m.)Built Up area: 540 sq.ft. (50.17 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),8,5,3+,4.0,East,Old Property,,540.0,500.0,0,0,0,0,0,1,8
house,vipul tatvam villa,sector 48,8.25,38194.0,3153.8226999999997,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4,4,3+,3.0,North-East,Relatively New,,300.0,240.0,0,1,0,1,0,0,160
house,nul,sector 25,9.5,33404.0,2841.6695999999997,Plot area 316(264.22 sq.m.),9,9,3+,3.0,North-West,Old Property,,2844.0,,1,0,0,0,0,0,81
